minute,cpu_load
0,0.036865234375
5,0.006718635559082031
12,0.001262664794921875
15,0.24217700958251953
20,0.013458251953125
25,0.00388336181640625
30,0.00033283233642578125
45,0.842987060546875
55,0.008190155029296875
75,0.000431060791015625
95,0.10927772521972656
100,0.6762771606445312
105,0.013589859008789062
115,0.022186279296875
120,2.913818359375
125,0.02053070068359375
130,0.00048732757568359375
140,0.002285003662109375
145,0.000629425048828125
150,0.035858154296875
155,0.00244903564453125
160,0.00383758544921875
165,0.00012493133544921875
170,0.000701904296875
195,0.17466354370117188
200,0.0045013427734375
214,0.00457763671875
230,0.007947921752929688
240,0.03994178771972656
245,0.002170562744140625
247,0.00030517578125
258,0.005706787109375
260,0.0017108917236328125
265,0.051116943359375
275,0.003692626953125
280,0.897674560546875
285,4.1751861572265625
288,0.2969512939453125
290,0.0018749237060546875
295,0.00228118896484375
310,0.19925689697265625
320,0.004794120788574219
325,0.027147293090820312
330,0.002685546875
335,2.0635032653808594
345,0.0002880096435546875
350,0.01334381103515625
355,0.0013446807861328125
360,10.382072448730469
380,0.10476875305175781
385,0.403564453125
389,0.00263214111328125
391,0.0015020370483398438
405,0.014520645141601562
411,0.0005407333374023438
415,0.312530517578125
420,0.00188446044921875
425,3.0875425338745117
430,0.9150619506835938
434,0.00379180908203125
435,0.614837646484375
440,34.685546875
441,0.015583038330078125
470,0.0011301040649414062
480,0.006472587585449219
490,2.892580032348633
535,0.31499290466308594
550,0.2672576904296875
555,0.615966796875
570,0.00290679931640625
575,0.2691650390625
580,0.0018711090087890625
588,0.0016307830810546875
590,0.172821044921875
595,32.37451171875
610,0.4787139892578125
630,0.8236083984375
635,0.9388427734375
660,0.6563186645507812
667,0.000148773193359375
674,0.00019931793212890625
685,0.06641387939453125
688,0.04270172119140625
690,0.007775306701660156
694,0.00010967254638671875
695,0.01836395263671875
697,0.00043582916259765625
699,6.771087646484375e-05
705,3.2322235107421875
710,0.007843017578125
711,0.0001983642578125
715,0.0135040283203125
725,0.009809494018554688
735,1.222869873046875
755,0.007529258728027344
765,0.0017948150634765625
770,0.6660041809082031
785,0.00701141357421875
795,0.18751144409179688
810,6.866455078125e-05
820,0.0008068084716796875
830,0.0015344619750976562
835,0.0020170211791992188
840,0.4611358642578125
845,0.02039337158203125
869,0.003307342529296875
870,0.01678466796875
875,0.005026817321777344
877,0.0
880,0.00621795654296875
883,0.00138092041015625
885,0.00274658203125
900,1.4264144897460938
915,0.003765106201171875
930,0.2501106262207031
945,0.13861083984375
948,0.0
950,0.18755340576171875
960,0.08565711975097656
984,0.00186920166015625
986,0.0005598068237304688
988,0.00341796875
990,0.002506256103515625
1010,0.0048351287841796875
1015,0.0001926422119140625
1020,0.0006694793701171875
1035,0.133087158203125
1050,0.01422119140625
1058,0.0004062652587890625
1065,0.0007238388061523438
1070,0.05657958984375
1080,0.0080718994140625
1084,0.0
1085,0.07806396484375
1092,0.0001926422119140625
1110,0.155181884765625
1115,0.3637580871582031
1120,0.0600738525390625
1141,0.02313232421875
1145,0.03555488586425781
1150,0.1182861328125
1155,0.021778106689453125
1165,0.00015735626220703125
1167,0.0
1170,0.0025129318237304688
1175,0.00180816650390625
1176,0.0041751861572265625
1180,0.0018329620361328125
1190,0.0521697998046875
1195,0.011621475219726562
1200,0.18082427978515625
1205,4.98291015625
1207,0.0007171630859375
1215,0.016448974609375
1217,0.011444091796875
1220,0.8891258239746094
1225,0.08687973022460938
1236,0.00121307373046875
1240,0.000812530517578125
1245,0.025583267211914062
1249,0.0
1258,3.814697265625e-06
1260,0.062255859375
1270,7.1241559982299805
1290,0.0009307861328125
1297,0.0004787445068359375
1300,0.3170166015625
1306,0.004630088806152344
1315,0.19313812255859375
1317,0.00010395050048828125
1320,0.001220703125
1330,0.0269317626953125
1333,0.03179931640625
1335,0.28775787353515625
1350,7.865142822265625
1352,0.0
1355,0.3669242858886719
1360,0.0007677078247070312
1365,0.22789573669433594
1370,0.4077339172363281
1377,4.092041015625
1380,0.0058040618896484375
1390,0.0021076202392578125
1400,0.09173583984375
1413,0.0
1420,0.6746826171875
1426,0.00213623046875
1430,1.62396240234375
1440,0.000431060791015625
1445,0.0014925003051757812
1450,0.48233795166015625
1452,0.0006580352783203125
1460,0.08228683471679688
1480,0.0494384765625
1485,0.12955856323242188
1486,0.0009756088256835938
1488,0.0003604888916015625
1490,12.752593994140625
1525,30.553668975830078
1535,0.012969970703125
1545,3.6257972717285156
1550,0.0003299713134765625
1570,0.003467559814453125
1573,0.000339508056640625
1579,0.001232147216796875
1585,0.16999053955078125
1590,1.3872299194335938
1595,0.0004978179931640625
1610,0.0043849945068359375
1620,0.1845703125
1625,12.74810791015625
1629,0.00165557861328125
1640,0.10966873168945312
1641,0.0102081298828125
1650,0.00139617919921875
1660,0.5387668609619141
1705,0.0007610321044921875
1712,0.0
1715,0.0
1730,0.005658149719238281
1733,0.002269744873046875
1735,0.0011749267578125
1743,0.00286102294921875
1745,0.04171466827392578
1753,0.049701690673828125
1760,0.666015625
1780,0.032684326171875
1805,0.4728279113769531
1815,0.07373046875
1817,0.007348060607910156
1820,0.34814453125
1823,0.00034618377685546875
1830,0.07071685791015625
1850,0.4050006866455078
1860,1.6385841369628906
1863,0.010835647583007812
1865,0.08267974853515625
1870,1.2179946899414062
1880,0.027862548828125
1883,0.1975421905517578
1908,0.0007181167602539062
1910,0.03597259521484375
1925,12.038555145263672
1930,0.330596923828125
1934,0.0007200241088867188
1935,0.00016880035400390625
1945,0.3243560791015625
1950,0.07904052734375
1965,0.0
1970,0.44915771484375
1972,0.009307861328125
1973,0.0008230209350585938
1975,0.0355682373046875
1981,0.023360252380371094
1988,0.0001697540283203125
2000,0.754852294921875
2023,0.0018711090087890625
2038,0.0012531280517578125
2045,0.16387939453125
2053,0.003753662109375
2056,0.00040340423583984375
2057,0.0010709762573242188
2075,0.002040863037109375
2085,1.7003631591796875
2089,0.024871826171875
2090,0.00211334228515625
2105,0.04128265380859375
2107,0.000370025634765625
2108,0.0
2134,0.0006113052368164062
2135,0.00015544891357421875
2140,0.0005626678466796875
2145,1.1854476928710938
2160,0.167816162109375
2162,0.0
2165,0.0007572174072265625
2190,0.02925872802734375
2199,0.003864288330078125
2205,0.06634330749511719
2215,2.5157470703125
2239,0.0022125244140625
2240,0.5200309753417969
2246,3.8515625
2250,0.004673957824707031
2255,0.28289794921875
2260,0.5517215728759766
2290,0.226806640625
2298,0.0008373260498046875
2304,9.441375732421875e-05
2305,0.0033807754516601562
2308,0.0006341934204101562
2317,0.0002841949462890625
2318,0.001689910888671875
2320,2.568206787109375
2327,0.0011587142944335938
2333,0.21368408203125
2335,0.04442787170410156
2340,0.022966384887695312
2365,0.0
2370,0.088623046875
2375,0.03089427947998047
2380,0.02045440673828125
2385,3.6240062713623047
2390,0.03450298309326172
2410,0.14100265502929688
2412,0.00012111663818359375
2415,0.421905517578125
2420,1.3806123733520508
2425,0.27107810974121094
2445,0.08599281311035156
2451,0.00457763671875
2455,0.02262115478515625
2465,0.00023937225341796875
2475,0.06569671630859375
2478,0.001491546630859375
2488,7.9837646484375
2495,0.85809326171875
2500,0.8092803955078125
2505,23.19708251953125
2509,0.003643035888671875
2515,0.0966796875
2516,0.0181884765625
2520,0.00731658935546875
2525,0.002017974853515625
2538,0.1680908203125
2545,0.044956207275390625
2549,0.0011539459228515625
2550,0.003284454345703125
2551,0.0003681182861328125
2552,0.002071380615234375
2554,0.0
2555,1.8161306381225586
2560,0.016958236694335938
