minute,cpu_avg,cpu_max,mem_avg,assigned_mem
5,0.036865234375,0.14501953125,0.020843505859375,0.0313720703125
10,0.021791934967041016,0.001186370849609375,0.04013776779174805,0.4122352600097656
17,0.014948844909667969,0.00464630126953125,0.026827494303385418,0.0010318756103515
20,0.08338610331217448,0.01605224609375,0.048820813496907554,0.1651210784912082
25,0.0856326421101888,0.04083251953125,0.030260086059570312,0.0077056884765625
30,0.08650620778401692,0.02032470703125,0.03173224131266276,0.007904052734375
35,0.005891482035319011,0.0011653900146484375,0.003196080525716146,0.0057010650634765
50,0.28240108489990234,0.102294921875,0.12227694193522136,0.7803115844726562
60,0.28383668263753253,0.00031948089599609375,1.189766565958659,3.6002197265625
80,0.2838694254557292,0.0007448196411132812,1.1900087992350261,0.0043296813964843
100,0.03929964701334635,0.0135345458984375,1.0781399408976238,0.0027580261230468
105,0.2619953155517578,0.0144500732421875,0.06571420033772786,0.3096771240234334
110,0.26638158162434894,0.03948974609375,0.06871255238850911,0.0235977172851562
120,0.2373510996500651,0.0333251953125,0.061550140380859375,0.0150146484375
125,0.9831981658935547,0.028961181640625,0.08181126912434895,0.8069763183593688
130,0.9855117797851562,0.046630859375,0.07887713114420573,0.0234375
135,0.9782787958780924,0.0009174346923828125,0.0777883529663086,0.0023517608642576997
145,0.007767677307128906,0.0084381103515625,0.0019280115763346355,0.00732421875
150,0.0011339187622070312,0.0005035400390625,0.004325548807779948,0.038864135742187195
155,0.0129241943359375,0.0645751953125,0.007002512613932292,0.0137939453124999
160,0.012978871663411459,0.019683837890625,0.007230122884114583,0.0073165893554687
165,0.014048258463541666,0.01190185546875,0.005326588948567708,0.0079803466796875
170,0.0021371841430664062,0.0002994537353515625,0.0027335484822591147,0.001220703125
175,0.0015548070271809895,0.001766204833984375,0.001804033915201823,0.0
200,0.05849679311116537,0.017730712890625,0.04541365305582682,0.0074691772460937
205,0.059955596923828125,0.013275146484375,0.0469824473063151,0.0075531005859375
219,0.06124750773111979,0.0002536773681640625,0.048895835876464844,0.13146400451659498
235,0.0056756337483723955,0.001800537109375,0.008114814758300781,0.0344352722167962
245,0.017489115397135418,0.0875244140625,0.010149955749511719,0.0226593017578125
250,0.016686757405598957,0.0137786865234375,0.009463628133138021,0.0074081420898437
252,0.014139175415039062,0.00415802001953125,0.0054912567138671875,0.000843048095703
263,0.002727508544921875,0.00623321533203125,0.0035998026529947915,0.011182785034179
265,0.002574284871419271,0.00476837158203125,0.0033785502115885415,0.0073776245117187
270,0.01951154073079427,0.0011043548583984375,0.26401329040527344,0.0
280,0.01884015401204427,0.0143585205078125,0.2632560729980469,0.0085601806640625
285,0.3174947102864583,0.028228759765625,0.4754473368326823,0.93487548828125
290,1.6921844482421875,0.0477294921875,1.0903511047363281,0.0
293,1.7899373372395833,0.01483154296875,1.1202939351399739,0.0
295,1.4913374582926433,0.00507354736328125,0.9078750610351562,0.0083465576171875
300,0.10036913553873698,0.00927734375,0.033344268798828125,0.0073928833007812
315,0.06780433654785156,0.375,0.12759908040364584,0.03277587890625
325,0.06877740224202473,0.0111083984375,0.12958145141601562,0.0195770263671874
330,0.07706610361735027,0.0012454986572265625,0.1893132527669271,0.0
335,0.011542320251464844,0.01617431640625,0.06426684061686198,0.00390625
340,0.6977787017822266,0.135986328125,0.09560203552246094,0.2218399047851528
350,0.6888256072998047,0.006927490234375,0.04706891377766927,0.0738525390625
355,0.6923783620198568,0.00787353515625,0.049784342447916664,0.016502380371093597
360,0.004992167154947917,0.00368499755859375,0.0164642333984375,0.0074920654296875
