time,actual_load,predicted_load,replicas,decision
0,0.036865234375,0.0,1,SCALE DOWN 🔽
5,0.006718635559082,0.0,1,SCALE DOWN 🔽
12,0.0012626647949218,0.0,1,SCALE DOWN 🔽
15,0.2421770095825195,0.0,1,SCALE DOWN 🔽
20,0.013458251953125,0.0,1,SCALE DOWN 🔽
25,0.0038833618164062,0.0,1,SCALE DOWN 🔽
30,0.0003328323364257,0.0,1,SCALE DOWN 🔽
45,0.842987060546875,0.0,1,SCALE DOWN 🔽
55,0.0081901550292968,0.0,1,SCALE DOWN 🔽
75,0.0004310607910156,0.0,1,SCALE DOWN 🔽
95,0.1092777252197265,0.0,1,SCALE DOWN 🔽
100,0.6762771606445312,0.0,1,SCALE DOWN 🔽
105,0.013589859008789,0.0,1,SCALE DOWN 🔽
115,0.022186279296875,0.0,1,SCALE DOWN 🔽
120,2.913818359375,0.0,1,SCALE DOWN 🔽
125,0.0205307006835937,0.0,1,SCALE DOWN 🔽
130,0.0004873275756835,0.0,1,SCALE DOWN 🔽
140,0.0022850036621093,0.0,1,SCALE DOWN 🔽
145,0.0006294250488281,0.0,1,SCALE DOWN 🔽
150,0.035858154296875,0.0,1,SCALE DOWN 🔽
155,0.0024490356445312,0.0,1,SCALE DOWN 🔽
160,0.0038375854492187,0.0,1,SCALE DOWN 🔽
165,0.0001249313354492,0.0,1,SCALE DOWN 🔽
170,0.000701904296875,0.0,1,SCALE DOWN 🔽
195,0.1746635437011718,0.0,1,SCALE DOWN 🔽
200,0.0045013427734375,0.0,1,SCALE DOWN 🔽
214,0.00457763671875,0.0,1,SCALE DOWN 🔽
230,0.0079479217529296,0.0,1,SCALE DOWN 🔽
240,0.0399417877197265,0.0,1,SCALE DOWN 🔽
245,0.0021705627441406,0.0,1,SCALE DOWN 🔽
247,0.00030517578125,0.0,1,SCALE DOWN 🔽
258,0.005706787109375,0.0,1,SCALE DOWN 🔽
260,0.0017108917236328,0.0,1,SCALE DOWN 🔽
265,0.051116943359375,0.0,1,SCALE DOWN 🔽
275,0.003692626953125,0.0,1,SCALE DOWN 🔽
280,0.897674560546875,0.0,1,SCALE DOWN 🔽
285,4.1751861572265625,0.0,1,SCALE DOWN 🔽
288,0.2969512939453125,0.0,1,SCALE DOWN 🔽
290,0.0018749237060546,0.0,1,SCALE DOWN 🔽
295,0.0022811889648437,0.0,1,SCALE DOWN 🔽
310,0.1992568969726562,0.0,1,SCALE DOWN 🔽
320,0.0047941207885742,0.0,1,SCALE DOWN 🔽
325,0.0271472930908203,0.0,1,SCALE DOWN 🔽
330,0.002685546875,0.0,1,SCALE DOWN 🔽
335,2.0635032653808594,0.0,1,SCALE DOWN 🔽
345,0.0002880096435546,0.0,1,SCALE DOWN 🔽
350,0.0133438110351562,0.0,1,SCALE DOWN 🔽
355,0.0013446807861328,0.0,1,SCALE DOWN 🔽
